subject,scan,first_onset
146533,MOTOR,8.036
146937,MOTOR,8.023
147030,MOTOR,8.037
148133,MOTOR,8.05
149236,MOTOR,8.037
149842,MOTOR,8.037
150625,MOTOR,8.037
150928,MOTOR,8.05
152831,MOTOR,8.05
153227,MOTOR,8.037
154229,MOTOR,8.024
154532,MOTOR,8.05
154734,MOTOR,8.036
154835,MOTOR,8.05
154936,MOTOR,8.036
155635,MOTOR,8.036
155938,MOTOR,8.037
157942,MOTOR,8.036
159138,MOTOR,8.05
159340,MOTOR,8.037
159441,MOTOR,8.037
160830,MOTOR,8.05
162733,MOTOR,8.05
163331,MOTOR,8.037
163836,MOTOR,8.023
164030,MOTOR,8.023
164939,MOTOR,8.05
167238,MOTOR,8.05
168240,MOTOR,8.037
169949,MOTOR,8.036
170631,MOTOR,8.036
171633,MOTOR,8.024
172938,MOTOR,8.036
173435,MOTOR,8.037
173536,MOTOR,8.023
173738,MOTOR,8.037
173839,MOTOR,8.036
173940,MOTOR,8.037
175035,MOTOR,8.036
175237,MOTOR,8.037
175338,MOTOR,8.024
175742,MOTOR,8.023
176037,MOTOR,8.05
178950,MOTOR,8.037
179346,MOTOR,8.05
180129,MOTOR,8.05
181131,MOTOR,8.024
181232,MOTOR,8.05
181636,MOTOR,8.05
182436,MOTOR,8.036
183034,MOTOR,8.05
185442,MOTOR,8.05
186141,MOTOR,8.024
186444,MOTOR,8.037
187345,MOTOR,8.037
188448,MOTOR,8.037
188549,MOTOR,8.024
188751,MOTOR,8.024
189450,MOTOR,8.05
191033,MOTOR,8.036
192035,MOTOR,8.037
192136,MOTOR,8.05
192843,MOTOR,8.037
194645,MOTOR,8.037
194746,MOTOR,8.036
195445,MOTOR,8.05
195849,MOTOR,8.037
195950,MOTOR,8.036
197348,MOTOR,8.036
198249,MOTOR,8.036
198855,MOTOR,8.036
199453,MOTOR,8.037
199958,MOTOR,8.037
200008,MOTOR,8.05
200311,MOTOR,8.024
201515,MOTOR,8.051
202719,MOTOR,8.037
203418,MOTOR,8.037
203923,MOTOR,8.023
204319,MOTOR,8.037
204521,MOTOR,8.036
204622,MOTOR,8.05
206222,MOTOR,8.023
207123,MOTOR,8.05
208125,MOTOR,8.023
208327,MOTOR,8.023
209228,MOTOR,8.05
210415,MOTOR,8.05
211215,MOTOR,8.05
211316,MOTOR,8.05
211922,MOTOR,8.05
212015,MOTOR,8.037
212419,MOTOR,8.037
213421,MOTOR,8.036
214524,MOTOR,8.05
220721,MOTOR,8.05
227432,MOTOR,8.05
228434,MOTOR,8.037
233326,MOTOR,8.05
248339,MOTOR,8.023
250932,MOTOR,8.05
257542,MOTOR,8.037
257845,MOTOR,8.037
268850,MOTOR,8.036
285446,MOTOR,8.037
295146,MOTOR,8.023
297655,MOTOR,8.05
299154,MOTOR,8.05
300618,MOTOR,8.037
